"Data","NrParagonu","Produkt"
NA,"PA 14/S04/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 14/S04/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 3/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 3/S04/01/2019","2_KOBIETA :  KLAPKI"
NA,"PA 5/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 5/S04/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 6/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 6/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 6/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 6/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 7/S04/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 7/S04/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 8/S04/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 8/S04/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 1/S05/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 1/S05/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 11/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 11/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 12/S05/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 12/S05/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 12/S05/01/2019","2_KOBIETA :  SLEEVELESS"
NA,"PA 12/S05/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT POZ LOW"
NA,"PA 13/S05/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 13/S05/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 14/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 14/S05/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 14/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 15/S05/01/2019","2_KOBIETA :  BUTY LIFESTYLE_TRAMPEK S/P LOW"
NA,"PA 15/S05/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 19/S05/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 19/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 2/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 2/S05/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 22/S05/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 22/S05/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 23/S05/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 23/S05/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 23/S05/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 23/S05/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 23/S05/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 23/S05/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 3/S05/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 3/S05/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 3/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 4/S05/01/2019","1_M石CZYZNA :  KURTKA"
NA,"PA 4/S05/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_TRAMPEK S/P MID"
NA,"PA 4/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 5/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 5/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 5/S05/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 6/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 6/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 7/S05/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 7/S05/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 7/S05/01/2019","1_M石CZYZNA :  KLAPKI"
NA,"PA 8/S05/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 8/S05/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 9/S05/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 9/S05/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 9/S05/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT MID"
NA,"PA 10/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 10/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S06/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 4/S06/01/2019","3_CHPAK :  BUTY LIFESTYLE_TRAMPEK LOW"
NA,"PA 6/S06/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 6/S06/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 8/S06/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 8/S06/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 9/S06/01/2019","2_KOBIETA :  KURTKA"
NA,"PA 9/S06/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 11/S07/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 11/S07/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 11/S07/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 11/S07/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 14/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 14/S07/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 18/S07/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 18/S07/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 24/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 24/S07/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 25/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 25/S07/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 25/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 25/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 26/S07/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 26/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 28/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 28/S07/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 28/S07/01/2019","1_M石CZYZNA :  BUTY OUTDOOR LOW"
NA,"PA 29/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 29/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 29/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 3/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 3/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 32/S07/01/2019","5_AKCESORIA :  TORBA TRENINGOWA"
NA,"PA 32/S07/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 33/S07/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 33/S07/01/2019","3_CHPAK :  BUTY PIARSKIE&HAL覹KI"
NA,"PA 34/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 34/S07/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 37/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 37/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 37/S07/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT POZ LOW"
NA,"PA 4/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 6/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 6/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 6/S07/01/2019","5_AKCESORIA :  PLECAK"
NA,"PA 8/S07/01/2019","5_AKCESORIA :  TORBA TRENINGOWA"
NA,"PA 8/S07/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 11/S08/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 11/S08/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 12/S08/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 12/S08/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 13/S08/01/2019","3_CHPAK :  BLUZA"
NA,"PA 13/S08/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 13/S08/01/2019","3_CHPAK :  LONG SLEEVE"
NA,"PA 15/S08/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 15/S08/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 16/S08/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 16/S08/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 16/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 16/S08/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 16/S08/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 17/S08/01/2019","5_AKCESORIA :  PLECAK"
NA,"PA 17/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 17/S08/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 17/S08/01/2019","1_M石CZYZNA :  KLAPKI"
NA,"PA 19/S08/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 19/S08/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 19/S08/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 2/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 2/S08/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 20/S08/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 20/S08/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 21/S08/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 21/S08/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 22/S08/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 22/S08/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 22/S08/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 24/S08/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 24/S08/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 24/S08/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 28/S08/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 28/S08/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 3/S08/01/2019","1_M石CZYZNA :  STR覬 KIELOWY"
NA,"PA 3/S08/01/2019","1_M石CZYZNA :  BUTY RUN&TRAIN"
NA,"PA 33/S08/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 33/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 33/S08/01/2019","3_CHPAK :  KURTKA"
NA,"PA 33/S08/01/2019","3_CHPAK :  BLUZA"
NA,"PA 35/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 35/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 35/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 35/S08/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 35/S08/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 4/S08/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 4/S08/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 7/S08/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 7/S08/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 7/S08/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 8/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 8/S08/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 8/S08/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 10/S09/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 10/S09/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 17/S09/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 17/S09/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 17/S09/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 18/S09/01/2019","5_AKCESORIA :  PIA"
NA,"PA 18/S09/01/2019","5_AKCESORIA :  PIA"
NA,"PA 2/S09/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 2/S09/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 2/S09/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 20/S09/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 20/S09/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 3/S09/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 3/S09/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 3/S09/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S09/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S09/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S09/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 4/S09/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 4/S09/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 4/S09/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 7/S09/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 7/S09/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 7/S09/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 7/S09/01/2019","3_CHPAK :  BUTY LIFESTYLE_TRAMPEK MID"
NA,"PA 7/S09/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT MID"
NA,"PA 1/S10/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 1/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 14/S10/01/2019","1_M石CZYZNA :  LONG SLEEVE"
NA,"PA 14/S10/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT S/P LOW"
NA,"PA 15/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 15/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 15/S10/01/2019","1_M石CZYZNA :  BUTY PIARSKIE&HAL覹KI"
NA,"PA 16/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 16/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 18/S10/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 18/S10/01/2019","1_M石CZYZNA :  LONG SLEEVE"
NA,"PA 2/S10/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 2/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 2/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 2/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 2/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 2/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 20/S10/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 20/S10/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 23/S10/01/2019","2_KOBIETA :  BUTY LIFESTYLE_SPORT POZ LOW"
NA,"PA 23/S10/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 25/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 25/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 25/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 25/S10/01/2019","6_BIELIZNA :  KIEL覹KI"
NA,"PA 25/S10/01/2019","6_BIELIZNA :  KIEL覹KI"
NA,"PA 26/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 26/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S10/01/2019","1_M石CZYZNA :  KURTKA"
NA,"PA 4/S10/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 5/S10/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 5/S10/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 5/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 5/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 5/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 5/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 5/S10/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT POZ LOW"
NA,"PA 6/S10/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 6/S10/01/2019","3_CHPAK :  BUTY_ZIMA"
NA,"PA 7/S10/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 7/S10/01/2019","1_M石CZYZNA :  KLAPKI"
NA,"PA 8/S10/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 8/S10/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 9/S10/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 9/S10/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 9/S10/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 9/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 9/S10/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 9/S10/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 1/S11/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 1/S11/01/2019","6_BIELIZNA :  KIEL覹KI"
NA,"PA 12/S11/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 12/S11/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 12/S11/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 13/S11/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 13/S11/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S11/01/2019","5_AKCESORIA :  AKCESORIA PIARSKIE"
NA,"PA 4/S11/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 6/S11/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 6/S11/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 7/S11/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 7/S11/01/2019","1_M石CZYZNA :  LONG SLEEVE"
NA,"PA 7/S11/01/2019","1_M石CZYZNA :  LONG SLEEVE"
NA,"PA 8/S11/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 8/S11/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 9/S11/01/2019","3_CHPAK :  BUTY LIFESTYLE_TRAMPEK MID"
NA,"PA 9/S11/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 9/S11/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 2/S12/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 2/S12/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 4/S12/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 4/S12/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 6/S12/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 6/S12/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 6/S12/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 6/S12/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 6/S12/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 6/S12/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 7/S12/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 7/S12/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 7/S12/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 15/S13/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 15/S13/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 15/S13/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 15/S13/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 16/S13/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 16/S13/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 21/S13/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 21/S13/01/2019","3_CHPAK :  BLUZA"
NA,"PA 21/S13/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 21/S13/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 22/S13/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 22/S13/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 25/S13/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 25/S13/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 26/S13/01/2019","1_M石CZYZNA :  TIGHT"
NA,"PA 26/S13/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 3/S13/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 3/S13/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 30/S13/01/2019","1_M石CZYZNA :  SPODNIE"
